Ave;Otros nombres;Especie;Familia;Orden;Color;Tamaño;Patas;Alas;Picos;Alimentación;Nidificación;Se encuentra en;Hábitat;Migración;Cronotipo;Foto
Picurio;Macá de pico grueso, Zambullidor de pico grueso;Podilymbus podiceps;Podicipedidae;PODICIPEDIFORMES;blanco - negro;mediano - pequeño;lóbulada;de alta velocidad;generalista;omnívoro;cuenco;4:15;formación de agua dulce;No;diurno - nocturno;https://www.avesdechile.cl/0jpgn/155.jpg
Pimpollo;Pollollo, Chulyumpi, Macá común, Zambullidor pimpollo;Rollandia Rolland;Podicipedidae;PODICIPEDIFORMES;blanco - negro - pardo;mediano - pequeño;lóbulada;de alta velocidad;pescador;carnívoro;cuenco;1:16;formación de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/006ea1.jpg
Huala ;Macá grande, Zambullidor grande;Podiceps major;Podicipedidae;PODICIPEDIFORMES;gris - pardo - rojo;mediano;lóbulada;de alta velocidad;pescador;carnívoro;cuenco;4:16;formación de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/203ea1.jpg
Blanquillo ;Chulyumpi, Macá plateado, zambullidor blanquillo, yacuchullo;Podiceps occipitalis;Podicipedidae;PODICIPEDIFORMES;blanco - gris;mediano - pequeño;lóbulada;de alta velocidad;pescador;carnívoro;colgante;4:16;formación de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/256.jpg
Pingüino Rey;NULL ;Aptenodytes patagonicus;Spheniscidae;SPHENISCIFORMES;blanco - negro - anaranjado;grande;palmeadas;acuática no voladora;pescador grueso;carnívoro;escarbado;16;pelágico ;Sí;diurno;https://www.avesdechile.cl/0jpgn/104csq14.jpg
Pingüino Emperador;NULL ;Aptenodytes forsteri;Spheniscidae;SPHENISCIFORMES;blanco - negro - amarillo;grande;palmeadas;acuática no voladora;pescador grueso;carnívoro;escarbado;16;pelágico ;Sí;diurno;https://www.avesdechile.cl/0jpgn/100.jpg
Pingüino Papúa;Pingüino de vincha;Pygoscelis papua;Spheniscidae;SPHENISCIFORMES;blanco - negro;mediano - grande;palmeadas;acuática no voladora;pescador grueso;carnívoro;escarbado;16;pelágico ;Sí;diurno;https://www.avesdechile.cl/0jpgn/106pc3.jpg
Pingüino de Adelia;Pingüino de ojo blanco;Pygoscelis adeliae;Spheniscidae;SPHENISCIFORMES;blanco - negro;mediano - grande;palmeadas;acuática no voladora;pescador grueso;carnívoro;escarbado;16;pelágico ;Sí;diurno;https://www.avesdechile.cl/0jpgn/105.jpg
Pingüino Antártico;NULL ;Pygoscelis antarctica;Spheniscidae;SPHENISCIFORMES;blanco - negro;mediano - grande;palmeadas;acuática no voladora;pescador grueso;carnívoro;escarbado;16;pelágico ;Sí;diurno;https://upload.wikimedia.org/wikipedia/commons/6/69/Manchot_01.jpg
Pingüino de Humboldt;Pájaro niño, Pato burro;Spheniscus humboldti;Spheniscidae;SPHENISCIFORMES;blanco - negro;mediano - grande;semipalmeadas;acuática no voladora;pescador grueso;carnívoro;madriguera;1:6, 14;costa;Sí;diurno;https://www.avesdechile.cl/0jpgn/025ea1.jpg
Albatros de las Galápagos;NULL ;Phoebastria irrorata;Diomedeidae;PROCELLANIIFORMES;blanco - pardo;mediano - grande;semipalmeadas;de planeo;pescador ganchudo;carnívoro;escarbado;5;mar abierto;Sí;diurno;https://www.avesdechile.cl/0jpgn/484dr1.jpg
Albatros Errante;Albatros , Pájaro carnero;Diomedea exulans;Diomedeidae;PROCELLANIIFORMES;blanco - negro;muy grande;semipalmeadas;de planeo;pescador ganchudo;carnívoro;escarbado;1:16;mar abierto;Sí;diurno;https://www.avesdechile.cl/0jpgn/118pc1.jpg
Albatros Oscuro;Albatros oscuro grande;Phoebetria fusca;Diomedeidae;PROCELLANIIFORMES;gris - café;mediano - grande;semipalmeadas;de planeo;pescador ganchudo;carnívoro;escarbado;16;mar abierto;Sí;diurno;https://www.avesdechile.cl/0jpgn/460.jpg
Albatros de Ceja Negra;Gaviotón ;Thalassarche melanophrys;Diomedeidae;PROCELLANIIFORMES;blanco - negro;mediano - grande ;semipalmeadas;de planeo;pescador ganchudo;carnívoro;escarbado;1:16;pelágico ;Sí;diurno;https://www.avesdechile.cl/0jpgn/117jt1.jpg
